iter	Passed	Remaining
412	4163	5917
413	4173	5907
414	4182	5895
415	4190	5882
416	4199	5870
417	4209	5860
418	4225	5858
419	4238	5853
420	4246	5840
421	4255	5828
422	4264	5817
423	4274	5806
424	4284	5796
425	4293	5785
426	4303	5774
427	4314	5765
428	4323	5755
429	4333	5744
430	4342	5733
431	4353	5723
432	4361	5711
433	4370	5699
434	4380	5689
435	4389	5677
436	4397	5665
437	4407	5655
438	4416	5643
439	4424	5631
440	4433	5619
441	4443	5609
442	4459	5607
443	4472	5600
444	4480	5588
445	4490	5577
446	4499	5566
447	4509	5555
448	4517	5543
449	4525	5531
450	4535	5521
451	4545	5510
452	4554	5499
453	4566	5491
454	4575	5480
455	4583	5468
456	4593	5457
457	4602	5446
458	4611	5435
459	4630	5436
460	4639	5425
461	4650	5415
462	4660	5405
463	4669	5394
464	4678	5382
465	4686	5370
466	4697	5360
467	4706	5350
468	4714	5337
469	4723	5326
470	4737	5321
471	4747	5310
472	4756	5299
473	4767	5290
474	4776	5279
475	4786	5268
476	4794	5256
477	4804	5247
478	4814	5236
479	4823	5225
480	4833	5215
481	4842	5204
482	4852	5194
483	4861	5183
484	4871	5173
485	4880	5161
486	4888	5149
487	4898	5139
488	4907	5128
489	4915	5116
490	4924	5104
491	4933	5093
492	4941	5082
493	4949	5069
494	4957	5057
495	4965	5046
496	4975	5035
497	4984	5024
498	4993	5013
499	5004	5004
500	5013	4993
501	5023	4983
502	5033	4973
503	5042	4962
504	5051	4951
505	5059	4939
506	5069	4929
507	5079	4919
508	5089	4909
509	5104	4904
510	5114	4893
511	5122	4882
512	5131	4871
513	5140	4860
514	5149	4849
515	5161	4841
516	5171	4831
517	5181	4821
518	5190	4810
519	5202	4802
520	5211	4791
521	5219	4779
522	5229	4769
523	5239	4759
524	5249	4749
525	5258	4738
526	5271	4731
527	5282	4722
528	5291	4711
529	5300	4700
530	5309	4689
531	5318	4678
532	5328	4668
533	5337	4657
534	5346	4647
535	5356	4637
536	5366	4626
537	5384	4623
538	5393	4613
539	5403	4602
540	5411	4591
541	5422	4581
542	5431	4570
543	5440	4560
544	5449	4549
545	5462	4542
546	5471	4531
547	5481	4521
548	5491	4510
549	5499	4499
550	5508	4488
551	5516	4476
552	5525	4466
553	5535	4456
554	5544	4445
555	5553	4434
556	5562	4424
557	5571	4413
558	5580	4402
559	5589	4391
560	5602	4383
561	5610	4372
562	5619	4361
563	5629	4352
564	5638	4341
565	5646	4330
566	5655	4319
567	5664	4308
568	5673	4297
569	5682	4286
570	5691	4276
571	5701	4266
572	5710	4255
573	5720	4245
574	5729	4235
575	5739	4224
576	5747	4213
577	5757	4203
578	5767	4193
579	5776	4182
580	5785	4172
581	5794	4162
582	5804	4151
583	5813	4141
584	5822	4130
585	5831	4119
586	5839	4108
587	5849	4098
588	5859	4088
589	5869	4078
590	5877	4067
591	5887	4057
592	5896	4046
593	5905	4036
594	5914	4025
595	5925	4016
596	5973	4032
597	5986	4024
598	5998	4015
599	6011	4007
600	6020	3997
601	6029	3986
602	6038	3975
603	6047	3964
604	6056	3954
605	6064	3943
606	6073	3932
607	6082	3921
608	6089	3909
609	6098	3899
610	6108	3888
611	6116	3877
612	6127	3868
613	6135	3857
614	6144	3846
615	6153	3835
616	6162	3825
617	6171	3814
618	6180	3803
619	6189	3793
620	6198	3782
621	6206	3771
622	6216	3761
623	6225	3751
624	6234	3740
625	6243	3730
626	6252	3719
627	6262	3709
628	6271	3699
629	6279	3687
630	6289	3677
631	6298	3667
632	6307	3656
633	6316	3646
634	6325	3635
635	6333	3625
636	6343	3614
637	6353	3604
638	6362	3594
639	6371	3583
640	6381	3573
641	6389	3563
642	6398	3552
643	6406	3541
644	6415	3531
645	6424	3520
646	6433	3510
647	6442	3499
648	6451	3489
649	6460	3478
650	6469	3468
651	6477	3457
652	6488	3447
653	6496	3437
654	6505	3426
655	6515	3416
656	6524	3406
657	6533	3395
658	6542	3385
659	6552	3375
660	6560	3364
661	6569	3354
662	6579	3344
663	6589	3334
664	6598	3323
665	6607	3313
666	6616	3303
667	6625	3293
668	6634	3282
669	6645	3273
670	6654	3262
671	6662	3251
672	6670	3241
673	6680	3231
674	6689	3220
675	6698	3210
676	6707	3200
677	6717	3190
678	6725	3179
679	6734	3168
680	6743	3158
681	6751	3148
682	6760	3137
683	6769	3127
684	6778	3117
685	6787	3106
686	6796	3096
687	6805	3086
688	6814	3075
689	6822	3065
690	6831	3054
691	6842	3045
692	6853	3036
693	6863	3026
694	6871	3015
695	6882	3006
696	6891	2995
697	6899	2985
698	6907	2974
699	6917	2964
700	6926	2954
701	6942	2946
702	6950	2936
703	6959	2926
704	6969	2916
705	6977	2905
706	6986	2895
707	6995	2885
708	7004	2874
709	7022	2868
710	7031	2858
711	7040	2847
712	7049	2837
713	7058	2827
714	7068	2817
715	7085	2810
716	7095	2800
717	7104	2790
718	7115	2780
719	7124	2770
720	7133	2760
721	7142	2750
722	7150	2739
723	7159	2729
724	7168	2719
725	7176	2708
726	7184	2697
727	7193	2687
728	7200	2676
729	7208	2666
730	7216	2655
731	7226	2645
732	7235	2635
733	7244	2625
734	7253	2615
735	7261	2604
736	7271	2594
737	7284	2585
738	7292	2575
739	7301	2565
740	7311	2555
741	7321	2545
742	7330	2535
743	7339	2525
744	7349	2515
745	7362	2506
746	7372	2496
747	7381	2486
748	7390	2476
749	7399	2466
750	7408	2456
751	7417	2446
752	7426	2435
753	7434	2425
754	7446	2416
755	7454	2405
756	7462	2395
757	7471	2385
758	7480	2375
759	7489	2365
760	7499	2355
761	7508	2345
762	7516	2334
763	7525	2324
764	7535	2314
765	7545	2305
766	7555	2295
767	7563	2284
768	7574	2275
769	7583	2265
770	7592	2254
771	7599	2244
772	7608	2234
773	7618	2224
774	7627	2214
775	7636	2204
776	7645	2194
777	7653	2183
778	7663	2174
779	7671	2163
780	7680	2153
781	7689	2143
782	7698	2133
783	7709	2124
784	7718	2114
785	7726	2103
786	7736	2093
787	7745	2083
788	7754	2073
789	7763	2063
790	7773	2053
791	7781	2043
792	7789	2033
793	7798	2023
794	7808	2013
795	7816	2003
796	7825	1993
797	7834	1983
798	7843	1973
799	7851	1962
800	7861	1953
801	7871	1943
802	7880	1933
803	7891	1923
804	7901	1914
805	7911	1904
806	7919	1894
807	7928	1883
808	7938	1874
809	7947	1864
810	7955	1853
811	7964	1843
812	7973	1833
813	7984	1824
814	7993	1814
815	8003	1804
816	8013	1794
817	8022	1784
818	8031	1775
819	8040	1764
820	8048	1754
821	8056	1744
822	8066	1734
823	8077	1725
824	8086	1715
825	8095	1705
826	8105	1695
827	8114	1685
828	8124	1675
829	8134	1666
830	8143	1656
831	8152	1646
832	8160	1636
833	8169	1626
834	8178	1616
835	8186	1605
836	8195	1596
837	8203	1585
838	8212	1575
839	8221	1565
840	8230	1556
841	8238	1545
842	8248	1536
843	8259	1526
844	8270	1517
845	8280	1507
846	8288	1497
847	8300	1487
848	8309	1477
849	8317	1467
850	8331	1458
851	8342	1449
852	8353	1439
853	8361	1429
854	8371	1419
855	8383	1410
856	8393	1400
857	8401	1390
858	8412	1380
859	8420	1370
860	8429	1360
861	8438	1351
862	8448	1341
863	8457	1331
864	8467	1321
865	8478	1311
866	8487	1301
867	8497	1292
868	8505	1282
869	8515	1272
870	8524	1262
871	8535	1252
872	8544	1242
873	8552	1232
874	8560	1222
875	8569	1213
876	8578	1203
877	8587	1193
878	8596	1183
879	8605	1173
880	8614	1163
881	8624	1153
882	8633	1143
883	8642	1134
884	8651	1124
885	8660	1114
886	8669	1104
887	8678	1094
888	8686	1084
889	8696	1074
890	8704	1064
891	8713	1055
892	8723	1045
893	8731	1035
894	8740	1025
895	8748	1015
896	8758	1005
897	8768	995
898	8777	986
899	8786	976
900	8795	966
901	8803	956
902	8813	946
903	8824	937
904	8835	927
905	8843	917
906	8852	907
907	8863	898
908	8872	888
909	8880	878
910	8889	868
911	8898	858
912	8908	848
913	8918	839
914	8932	829
915	8940	819
916	8949	810
917	8958	800
918	8966	790
919	8974	780
920	8983	770
921	8993	760
922	9003	751
923	9012	741
924	9021	731
925	9031	721
926	9040	711
927	9049	702
928	9057	692
929	9066	682
930	9075	672
931	9084	662
932	9093	653
933	9102	643
934	9111	633
935	9122	623
936	9131	613
937	9139	604
938	9149	594
939	9158	584
940	9170	574
941	9179	565
942	9189	555
943	9198	545
944	9207	535
945	9215	526
946	9225	516
947	9234	506
948	9243	496
949	9251	486
950	9261	477
951	9270	467
952	9280	457
953	9290	447
954	9300	438
955	9309	428
956	9319	418
957	9328	408
958	9336	399
959	9344	389
960	9352	379
961	9361	369
962	9372	360
963	9383	350
964	9391	340
965	9401	330
966	9410	321
967	9420	311
968	9429	301
969	9437	291
970	9446	282
971	9456	272
972	9464	262
973	9472	252
974	9482	243
975	9492	233
976	9502	223
977	9510	213
978	9519	204
979	9527	194
980	9536	184
981	9545	174
982	9554	165
983	9564	155
984	9573	145
985	9582	136
986	9591	126
987	9601	116
988	9610	106
989	9619	97
990	9627	87
991	9635	77
992	9644	67
993	9655	58
994	9663	48
995	9672	38
996	9680	29
997	9689	19
998	9699	9
999	9707	0
