iter	RMSE
0	153.165689
1	151.516441
2	149.7446632
3	148.1796718
4	146.737437
5	145.4717208
6	144.1701006
7	142.9299619
8	141.7283593
9	140.5698321
10	139.4681053
11	138.5455584
12	137.5698186
13	136.5483652
14	135.6855476
15	134.7796841
16	133.8740642
17	133.1139344
18	132.4538708
19	131.7132294
20	131.1130651
21	130.5151456
22	129.8639526
23	129.3348429
24	128.8180604
25	128.2855354
26	127.7705895
27	127.2693051
28	126.8271011
29	126.3878549
30	125.9489127
31	125.727359
32	125.2579427
33	124.8808585
34	124.498959
35	124.1746357
36	123.8669987
37	123.5460942
38	123.2226359
39	122.8858114
40	122.6960381
41	122.2408983
42	121.9583518
43	121.690905
44	121.3759984
45	121.122787
46	120.8540591
47	120.4254399
48	120.1756532
49	119.8493902
50	119.601168
51	119.3555934
52	119.0916478
53	118.9987843
54	118.8119566
55	118.5468871
56	118.4961136
57	118.2580041
58	118.1114404
59	117.9283891
60	117.7703587
61	117.5809057
62	117.3925466
63	117.1979632
64	117.0484927
65	116.8878661
66	116.66914
67	116.5548724
68	116.354046
69	116.1889639
70	115.9740998
71	115.7086332
72	115.5901862
73	115.3579359
74	115.3005032
75	115.1009265
76	115.0128175
77	114.9168699
78	114.7348912
79	114.6030426
80	114.5812646
81	114.4920797
82	114.4379096
83	114.3016985
84	114.0700787
85	113.8667402
86	113.8004273
87	113.7500316
88	113.7057438
89	113.6181333
90	113.5888256
91	113.4805474
92	113.4407893
93	113.3468344
94	113.251325
95	113.1853945
96	113.1352589
97	113.0877099
98	113.0492486
99	112.9841942
100	112.8670613
101	112.6477515
102	112.6177799
103	112.5091678
104	112.426332
105	112.4088363
106	112.2441438
107	112.0951793
108	111.9779743
109	111.8767178
110	111.7993307
111	111.5872616
112	111.3944334
113	111.3055223
114	111.1885299
115	111.1687016
116	111.1624625
117	111.1412633
118	111.0598082
119	111.0087977
120	110.9881533
121	110.889057
122	110.7970917
123	110.707474
124	110.687067
125	110.6620609
126	110.6058403
127	110.4730066
128	110.3365999
129	110.3133182
130	110.1516766
131	110.1299033
132	110.0749022
133	110.0504747
134	109.9010346
135	109.7345996
136	109.6200694
137	109.6075
138	109.5472762
139	109.496194
140	109.3350958
141	109.2971851
142	109.0871181
143	109.0553906
144	109.0411183
145	108.9049329
146	108.8103617
147	108.8045201
148	108.6860643
149	108.6703288
150	108.6565681
151	108.547654
152	108.4798687
153	108.4601247
154	108.3411216
155	108.330648
156	108.2222086
157	108.2221701
158	108.1935521
159	108.1449566
160	108.093218
161	107.9101122
162	107.8734297
163	107.7062026
164	107.6121189
165	107.5154294
166	107.4864556
167	107.4709937
168	107.4351736
169	107.41609
170	107.4019432
171	107.3747258
172	107.3567841
173	107.3248937
174	107.2764343
175	107.1081811
176	107.0649844
177	107.0324802
178	106.9501141
179	106.917374
180	106.8472641
181	106.8004655
182	106.7867167
183	106.6459021
184	106.6210552
185	106.5698466
186	106.5633199
187	106.342251
188	106.3200082
189	106.2457358
190	106.1347663
191	106.0872177
192	106.0572558
193	106.0053783
194	105.9752291
195	105.9510921
196	105.8921703
197	105.8255926
198	105.8077064
199	105.6862237
200	105.6434945
201	105.5336155
202	105.5247075
203	105.5153163
204	105.4162198
205	105.4152969
206	105.272279
207	105.1779282
208	105.166643
209	105.0857612
210	105.0087698
211	104.8642088
212	104.8020943
213	104.7138394
214	104.6702979
215	104.6143405
216	104.4934047
217	104.4127043
218	104.3542739
219	104.3472667
220	104.2933493
221	104.1718729
222	104.0071552
223	103.9074828
224	103.8467584
225	103.7650907
226	103.7127883
227	103.4859286
228	103.3772572
229	103.2861586
230	103.2787206
231	103.271307
232	103.2661109
233	103.2549265
234	103.1904539
235	103.1313745
236	103.1016536
237	103.0637693
238	103.049612
239	102.9397062
240	102.8464488
241	102.8179633
242	102.8121662
243	102.681403
244	102.6712903
245	102.6286566
246	102.5114052
247	102.3739593
248	102.1943632
249	102.183378
250	102.0712054
251	102.0507389
252	101.9114229
253	101.8963829
254	101.791964
255	101.718477
256	101.7184535
257	101.6681853
258	101.6554915
259	101.5427142
260	101.5129832
261	101.4916296
262	101.3058328
263	101.2663972
264	101.2574521
265	101.2194493
266	101.1362035
267	101.0681592
268	100.9871347
269	100.8520353
270	100.7673789
271	100.7464345
272	100.7271263
273	100.7041391
274	100.663569
275	100.5446816
276	100.5148967
277	100.4014998
278	100.401473
279	100.3924046
280	100.37837
281	100.24115
282	100.1650708
283	100.0705378
284	100.019857
285	99.89555975
286	99.8955353
287	99.78619802
288	99.64553591
289	99.62190682
290	99.50552012
291	99.34165651
292	99.30259077
293	99.26247014
294	99.09172873
295	99.06195102
296	98.99170038
297	98.95871378
298	98.86161318
299	98.76045795
300	98.69929429
301	98.59533431
302	98.51243354
303	98.49164875
304	98.43084483
305	98.34555978
306	98.31703613
307	98.22890857
308	98.17620766
309	98.08181632
310	98.03010158
311	97.93555602
312	97.83810769
313	97.6820575
314	97.65426508
315	97.58502184
316	97.54160577
317	97.49769534
318	97.43046825
319	97.30523998
320	97.21679595
321	97.15280684
322	97.04467155
323	97.01981612
324	96.94692384
325	96.92244364
326	96.88898492
327	96.79552444
328	96.67127298
329	96.55139244
330	96.49200921
331	96.37594193
332	96.35202414
333	96.31516105
334	96.24123592
335	96.12545458
336	96.10120202
337	96.02500308
338	95.93034784
339	95.78596236
340	95.74561706
341	95.67724673
342	95.54105926
343	95.44376352
344	95.38319435
345	95.29398072
346	95.25173294
347	95.24112276
348	95.12313467
349	95.04709619
350	95.0251618
351	95.00438139
352	94.97463137
353	94.87162163
354	94.82712198
355	94.76561715
356	94.72206113
357	94.71165572
358	94.64252976
359	94.58196481
360	94.51620487
361	94.45830693
362	94.35433881
363	94.31578968
364	94.25016119
365	94.1475557
366	94.11395717
367	94.05885029
368	94.00239892
369	93.91159906
370	93.89622115
371	93.86493542
372	93.73513123
373	93.65725053
374	93.57502168
375	93.54300676
376	93.51509051
377	93.46357312
378	93.40297466
379	93.3315618
380	93.29984053
381	93.23143392
382	93.20713305
383	93.18560007
384	93.16747092
385	93.02830787
386	92.96200111
387	92.94768705
388	92.94012074
389	92.92543289
390	92.87823382
391	92.82200339
392	92.81541411
393	92.73839804
394	92.63925042
395	92.57418949
396	92.53331955
397	92.41180504
398	92.3682441
399	92.23930053
400	92.18400229
401	92.1683954
402	92.0153986
403	91.9805025
404	91.93767062
405	91.81761013
406	91.69979303
407	91.6518873
408	91.61149462
409	91.60584487
410	91.5847962
411	91.54314508
412	91.53113061
413	91.49651515
414	91.4171195
415	91.31502036
416	91.28890863
417	91.17674344
418	91.15941933
419	91.08819027
420	91.05787012
421	91.04173119
422	90.99455292
423	90.95160396
424	90.82255319
425	90.78535011
426	90.7395418
427	90.71317631
428	90.67548939
429	90.61852542
430	90.5780921
431	90.54644413
432	90.4416793
433	90.32943586
434	90.27477749
435	90.23916179
436	90.11795026
437	90.07988904
438	89.98946266
439	89.96697977
440	89.88927634
441	89.80862679
442	89.77818653
443	89.71012703
444	89.6181923
445	89.59046977
446	89.56025421
447	89.45542188
448	89.39708356
449	89.3593523
450	89.23515278
451	89.18537785
452	89.10244119
453	89.08431543
454	89.069809
455	89.0602014
456	88.9798506
457	88.95135989
458	88.90388969
459	88.87544992
460	88.7722646
461	88.65990545
462	88.62218401
463	88.52836084
464	88.4499903
465	88.35614316
466	88.33696487
467	88.32691163
468	88.30990876
469	88.24043943
470	88.20537925
471	88.19170074
472	88.12518535
473	88.11139316
474	88.08767533
475	88.07567631
476	88.06308226
477	88.02234109
478	87.96350949
479	87.91182254
480	87.89651198
481	87.87008056
482	87.82702899
483	87.69436798
484	87.68037595
485	87.5935423
486	87.55785724
487	87.48810098
488	87.47797577
489	87.46777458
490	87.3503584
491	87.32312069
492	87.27294668
493	87.20593414
494	87.17297228
495	87.14023119
496	87.10882022
497	87.06459972
498	86.95617623
499	86.83534701
500	86.80595338
501	86.76758694
502	86.71975017
503	86.65417417
504	86.63521263
505	86.56888394
506	86.50617217
507	86.4911323
508	86.44972448
509	86.42697478
510	86.39916601
511	86.27064162
512	86.26296776
513	86.24019851
514	86.20246937
515	86.16714426
516	86.14003355
517	86.06184171
518	86.01253242
519	85.99055427
520	85.94442981
521	85.87324413
522	85.85212308
523	85.81119921
524	85.79242447
525	85.73428929
526	85.71924142
527	85.71043797
528	85.6743474
529	85.62261954
530	85.60012764
531	85.52501089
532	85.50288094
533	85.38145598
534	85.36737493
535	85.34096258
536	85.29674279
537	85.27380131
538	85.25362768
539	85.20082417
540	85.10779894
541	85.07528724
542	84.97105506
543	84.91962856
544	84.84707015
545	84.78371252
546	84.74030347
547	84.70448656
548	84.64451858
549	84.61896205
550	84.51267641
551	84.42260015
552	84.35035823
553	84.341161
554	84.30949044
555	84.22065843
556	84.16718638
557	84.08553574
558	84.0665029
559	84.04071293
560	84.03292341
561	83.99923595
562	83.94285459
563	83.86654416
564	83.80567815
565	83.72213461
566	83.62687891
567	83.6015142
568	83.58703692
569	83.56712134
570	83.54317137
571	83.46980573
572	83.43675959
573	83.40555053
574	83.39269483
575	83.36660051
576	83.2973686
577	83.27569621
578	83.22166378
579	83.14186444
580	83.07813348
581	83.06470979
582	83.03928923
583	83.00533628
584	82.89258167
585	82.83845473
586	82.76679465
587	82.73835842
588	82.72682926
589	82.65192457
590	82.56277064
591	82.48268685
592	82.44717176
593	82.43627499
594	82.4094226
595	82.38030718
596	82.35832738
597	82.34111173
598	82.33426274
599	82.31812672
600	82.25701718
601	82.20173862
602	82.09496231
603	82.06697459
604	81.99556674
605	81.96021797
606	81.90939892
607	81.88437161
608	81.85285706
609	81.79506317
610	81.74587437
611	81.73166869
612	81.71845862
613	81.67109261
614	81.63356617
615	81.55970063
616	81.54940473
617	81.48011839
618	81.47293137
619	81.43343642
620	81.40781179
621	81.34763819
622	81.31738611
623	81.26997629
624	81.24815586
625	81.20644322
626	81.18249141
627	81.16476866
628	81.11521645
629	81.06269966
630	81.05095075
631	81.02857112
632	81.00241177
633	80.97026945
634	80.95060759
635	80.93649425
636	80.90109534
637	80.89471299
638	80.88109783
639	80.84997913
640	80.83227004
641	80.80824652
642	80.7438309
643	80.68251274
644	80.65475513
645	80.63425309
646	80.60609085
647	80.5716794
648	80.55922118
649	80.46812652
650	80.45804949
651	80.41731183
652	80.39721018
653	80.36588113
654	80.33943918
655	80.32062308
656	80.29058354
657	80.2282772
658	80.21503123
659	80.19204055
660	80.1458758
661	80.10990267
662	80.09465259
663	80.05554515
664	80.03557704
665	80.0079252
666	79.93516131
667	79.8470385
668	79.81308619
669	79.80005462
670	79.78101412
671	79.74653241
672	79.69467419
673	79.68224065
674	79.62478201
675	79.59630958
676	79.58647203
677	79.57687858
678	79.5067222
679	79.43875413
680	79.3595401
681	79.33248002
682	79.31932383
683	79.27521701
684	79.2646127
685	79.23078508
686	79.17858078
687	79.1548645
688	79.0889662
689	79.07778628
690	79.0084576
691	79.00042206
692	78.96330811
693	78.95196107
694	78.90817462
695	78.88992617
696	78.83206608
697	78.78092337
698	78.75881626
699	78.7468663
700	78.73389028
701	78.72276957
702	78.68491497
703	78.62391973
704	78.6181336
705	78.55163225
706	78.50149107
707	78.42144394
708	78.37816147
709	78.34238403
710	78.31232625
711	78.28042487
712	78.25361832
713	78.23938196
714	78.1955377
715	78.11115879
716	78.03242848
717	77.99493652
718	77.98938213
719	77.97117899
720	77.94891761
721	77.94029633
722	77.89730216
723	77.86150866
724	77.84496503
725	77.79759269
726	77.71999043
727	77.6986471
728	77.6473587
729	77.62998511
730	77.58959171
731	77.57955507
732	77.52330101
733	77.48584073
734	77.44698705
735	77.40327968
736	77.36852474
737	77.30180002
738	77.23477594
739	77.16523461
740	77.13384434
741	77.12390107
742	77.11218488
743	77.06770393
744	77.02561078
745	76.98988038
746	76.94873081
747	76.9151509
748	76.87581762
749	76.8349527
750	76.78174003
751	76.76797234
752	76.70693967
753	76.69265124
754	76.63316964
755	76.55959807
756	76.5053743
757	76.46531792
758	76.45373486
759	76.43118226
760	76.42014962
761	76.40057163
762	76.3905928
763	76.35575588
764	76.33183985
765	76.27828359
766	76.22866683
767	76.15697817
768	76.0978485
769	76.07068973
770	75.99697863
771	75.96200832
772	75.94807269
773	75.93796821
774	75.90110959
775	75.85665185
776	75.80711101
777	75.7849568
778	75.76857055
779	75.7178358
780	75.69606315
781	75.67790821
782	75.61387823
783	75.57180706
784	75.50699935
785	75.41096776
786	75.39646026
787	75.39185824
788	75.37816666
789	75.36259609
790	75.31304259
791	75.23539218
792	75.22271013
793	75.17868479
794	75.1520381
795	75.10559855
796	75.0811398
797	75.07056229
798	75.05805422
799	74.96133522
800	74.94641436
801	74.92162351
802	74.91227607
803	74.88985592
804	74.85420513
805	74.80086118
806	74.75726866
807	74.71491605
808	74.71142867
809	74.65446191
810	74.64337169
811	74.62441006
812	74.58235177
813	74.56762894
814	74.55549978
815	74.52869284
816	74.51795645
817	74.4754976
818	74.45821246
819	74.4113592
820	74.39702465
821	74.3771252
822	74.35121297
823	74.34218147
824	74.31617106
825	74.26988936
826	74.25777848
827	74.2155502
828	74.18563543
829	74.15005665
830	74.13669134
831	74.11898359
832	74.11107337
833	74.07410689
834	74.06589644
835	73.98985628
836	73.98118524
837	73.95311529
838	73.90006993
839	73.88917628
840	73.87797073
841	73.83502341
842	73.81892202
843	73.79717228
844	73.75989692
845	73.7400932
846	73.70858384
847	73.70051985
848	73.68309774
849	73.64817425
850	73.60301907
851	73.58595456
852	73.58291725
853	73.5566875
854	73.53354611
855	73.52129759
856	73.49420058
857	73.41674777
858	73.36726223
859	73.35579002
860	73.33382346
861	73.31115378
862	73.26010623
863	73.23354022
864	73.21962378
865	73.17026856
866	73.15167442
867	73.08640615
868	73.08101246
869	73.06927356
870	72.99943275
871	72.9852309
872	72.90572169
873	72.86325855
874	72.82748485
875	72.7841548
876	72.71998919
877	72.69907423
878	72.68746635
879	72.68041447
880	72.67801184
881	72.64162584
882	72.62852992
883	72.60353645
884	72.59409376
885	72.56450601
886	72.52448713
887	72.51999003
888	72.45560134
889	72.43645948
890	72.37407588
891	72.3543737
892	72.32529737
893	72.28826732
894	72.24557023
895	72.17578774
896	72.16861675
897	72.15286195
898	72.13280797
899	72.09599968
900	72.07798318
901	72.07274891
902	72.05518942
903	72.0347286
904	71.96576434
905	71.89914399
906	71.87147115
907	71.8604554
908	71.82014713
909	71.77142323
910	71.73596388
911	71.72198101
912	71.70699386
913	71.69532827
914	71.67163467
915	71.63924877
916	71.61705455
917	71.54089827
918	71.48219681
919	71.46082052
920	71.44506804
921	71.34614386
922	71.32396997
923	71.29676554
924	71.28707001
925	71.23743824
926	71.18511371
927	71.12020267
928	71.05490523
929	71.00749534
930	70.93831285
